date_hour,consumption_hour
2019-02-10 00:00:00,68
2019-02-10 01:00:00,127
2019-02-10 02:00:00,50
2019-02-10 03:00:00,214
2019-02-10 04:00:00,119
2019-02-10 05:00:00,34
2019-02-10 06:00:00,237
2019-02-10 07:00:00,91
2019-02-10 08:00:00,52
2019-02-10 09:00:00,127
2019-02-10 10:00:00,194
2019-02-10 11:00:00,80
2019-02-10 12:00:00,126
2019-02-10 13:00:00,190
2019-02-10 14:00:00,104
2019-02-10 15:00:00,108
2019-02-10 16:00:00,33
2019-02-10 17:00:00,1362
2019-02-10 18:00:00,816
2019-02-10 19:00:00,1546
2019-02-10 20:00:00,710
2019-02-10 21:00:00,1004
2019-02-10 22:00:00,862
2019-02-10 23:00:00,674
2019-02-11 00:00:00,687
2019-02-11 01:00:00,2071
2019-02-11 02:00:00,1395
2019-02-11 03:00:00,146
2019-02-11 04:00:00,78
2019-02-11 05:00:00,129
2019-02-11 06:00:00,44
2019-02-11 07:00:00,92
2019-02-11 08:00:00,455
2019-02-11 09:00:00,896
2019-02-11 10:00:00,1342
2019-02-11 11:00:00,668
2019-02-11 12:00:00,33
2019-02-11 13:00:00,116
2019-02-11 14:00:00,93
2019-02-11 15:00:00,41
2019-02-11 16:00:00,128
2019-02-11 17:00:00,75
2019-02-11 18:00:00,57
2019-02-11 19:00:00,125
2019-02-11 20:00:00,1980
2019-02-11 21:00:00,2697
2019-02-11 22:00:00,1007
2019-02-11 23:00:00,1528
2019-02-12 00:00:00,343
2019-02-12 01:00:00,176
2019-02-12 02:00:00,246
2019-02-12 03:00:00,181
2019-02-12 04:00:00,195
2019-02-12 05:00:00,239
2019-02-12 06:00:00,95
2019-02-12 07:00:00,166
2019-02-12 08:00:00,1104
2019-02-12 09:00:00,1573
2019-02-12 10:00:00,1415
2019-02-12 11:00:00,645
2019-02-12 12:00:00,90
2019-02-12 13:00:00,110
2019-02-12 14:00:00,34
2019-02-12 15:00:00,130
2019-02-12 16:00:00,69
2019-02-12 17:00:00,76
2019-02-12 18:00:00,118
2019-02-12 19:00:00,34
2019-02-12 20:00:00,847
2019-02-12 21:00:00,113
2019-02-12 22:00:00,40
2019-02-12 23:00:00,126
2019-02-13 00:00:00,868
2019-02-13 01:00:00,1051
2019-02-13 02:00:00,132
2019-02-13 03:00:00,130
2019-02-13 04:00:00,104
2019-02-13 05:00:00,44
2019-02-13 06:00:00,126
