Identifiant PRM;Type de donnees;Date de debut;Date de fin;Grandeur physique;Grandeur metier;Etape metier;Unite;Pas en minutes
07586251793436;Courbe de charge;16/07/2017;16/07/2019;Energie active;Consommation;Comptage Brut;W;
Horodate;Valeur
2019-02-09T00:00:00+01:00;
2019-02-09T01:00:00+01:00;
2019-02-09T02:00:00+01:00;
2019-02-09T03:00:00+01:00;
2019-02-09T04:00:00+01:00;
2019-02-09T05:00:00+01:00;
2019-02-09T06:00:00+01:00;
2019-02-09T07:00:00+01:00;
2019-02-09T08:00:00+01:00;
2019-02-09T09:00:00+01:00;
2019-02-09T10:00:00+01:00;
2019-02-09T11:00:00+01:00;
2019-02-09T12:00:00+01:00;
2019-02-09T13:00:00+01:00;
2019-02-09T14:00:00+01:00;
2019-02-09T15:00:00+01:00;
2019-02-09T16:00:00+01:00;
2019-02-09T17:00:00+01:00;
2019-02-09T18:00:00+01:00;
2019-02-09T19:00:00+01:00;
2019-02-09T20:00:00+01:00;
2019-02-09T21:00:00+01:00;
2019-02-09T22:00:00+01:00;
2019-02-09T23:00:00+01:00;
2019-02-10T00:00:00+01:00;68
2019-02-10T00:00:00+01:00;68
2019-02-10T01:00:00+01:00;127
2019-02-10T01:00:00+01:00;127
2019-02-10T02:00:00+01:00;50
2019-02-10T02:00:00+01:00;50
2019-02-10T03:00:00+01:00;214
2019-02-10T03:00:00+01:00;214
2019-02-10T04:00:00+01:00;119
2019-02-10T04:00:00+01:00;119
2019-02-10T05:00:00+01:00;34
2019-02-10T05:00:00+01:00;34
2019-02-10T06:00:00+01:00;237
2019-02-10T06:00:00+01:00;237
2019-02-10T07:00:00+01:00;91
2019-02-10T07:00:00+01:00;91
2019-02-10T08:00:00+01:00;52
2019-02-10T08:00:00+01:00;52
2019-02-10T09:00:00+01:00;127
2019-02-10T09:00:00+01:00;127
2019-02-10T10:00:00+01:00;194
2019-02-10T10:00:00+01:00;194
2019-02-10T11:00:00+01:00;80
2019-02-10T11:00:00+01:00;80
2019-02-10T12:00:00+01:00;126
2019-02-10T12:00:00+01:00;126
2019-02-10T13:00:00+01:00;190
2019-02-10T13:00:00+01:00;190
2019-02-10T14:00:00+01:00;104
2019-02-10T14:00:00+01:00;104
2019-02-10T15:00:00+01:00;108
2019-02-10T15:00:00+01:00;108
2019-02-10T16:00:00+01:00;33
2019-02-10T16:00:00+01:00;33
2019-02-10T17:00:00+01:00;1362
2019-02-10T17:00:00+01:00;1362
2019-02-10T18:00:00+01:00;816
2019-02-10T18:00:00+01:00;816
2019-02-10T19:00:00+01:00;1546
2019-02-10T19:00:00+01:00;1546
2019-02-10T20:00:00+01:00;710
2019-02-10T20:00:00+01:00;710
2019-02-10T21:00:00+01:00;1004
2019-02-10T21:00:00+01:00;1004
2019-02-10T22:00:00+01:00;862
2019-02-10T22:00:00+01:00;862
2019-02-10T23:00:00+01:00;674
2019-02-10T23:00:00+01:00;674
2019-02-11T00:00:00+01:00;687
2019-02-11T00:00:00+01:00;687
2019-02-11T01:00:00+01:00;2071
2019-02-11T01:00:00+01:00;2071
2019-02-11T02:00:00+01:00;1395
2019-02-11T02:00:00+01:00;1395
2019-02-11T03:00:00+01:00;146
2019-02-11T03:00:00+01:00;146
2019-02-11T04:00:00+01:00;78
2019-02-11T04:00:00+01:00;78
2019-02-11T05:00:00+01:00;129
2019-02-11T05:00:00+01:00;129
2019-02-11T06:00:00+01:00;44
2019-02-11T06:00:00+01:00;44
2019-02-11T07:00:00+01:00;92
2019-02-11T07:00:00+01:00;92
2019-02-11T08:00:00+01:00;455
2019-02-11T08:00:00+01:00;455
2019-02-11T09:00:00+01:00;896
2019-02-11T09:00:00+01:00;896
2019-02-11T10:00:00+01:00;1342
2019-02-11T10:00:00+01:00;1342
2019-02-11T11:00:00+01:00;668
2019-02-11T11:00:00+01:00;668
2019-02-11T12:00:00+01:00;33
2019-02-11T12:00:00+01:00;33
2019-02-11T13:00:00+01:00;116
2019-02-11T13:00:00+01:00;116
2019-02-11T14:00:00+01:00;93
2019-02-11T14:00:00+01:00;93
2019-02-11T15:00:00+01:00;41
2019-02-11T15:00:00+01:00;41
2019-02-11T16:00:00+01:00;128
2019-02-11T16:00:00+01:00;128
2019-02-11T17:00:00+01:00;75
2019-02-11T17:00:00+01:00;75
2019-02-11T18:00:00+01:00;57
2019-02-11T18:00:00+01:00;57
2019-02-11T19:00:00+01:00;125
2019-02-11T19:00:00+01:00;125
2019-02-11T20:00:00+01:00;1980
2019-02-11T20:00:00+01:00;1980
2019-02-11T21:00:00+01:00;2697
2019-02-11T21:00:00+01:00;2697
2019-02-11T22:00:00+01:00;1007
2019-02-11T22:00:00+01:00;1007
2019-02-11T23:00:00+01:00;1528
