date_hour,BIOMASS,FOSSIL_GAS,FOSSIL_HARD_COAL,FOSSIL_OIL,HYDRO_PUMPED_STORAGE,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,HYDRO_WATER_RESERVOIR,NUCLEAR,SOLAR,WASTE,WIND_ONSHORE,TOTAL
2019-02-10 00:00:00,348,2615,375,251,-1749,3704,502,51375,0,204,8940,66565
2019-02-10 01:00:00,347,2617,373,251,-2060,3591,752,50827,0,204,9926,66828
2019-02-10 02:00:00,347,2618,368,251,-2616,3512,298,49998,0,204,10535,65515
2019-02-10 03:00:00,347,2611,387,250,-2793,3402,187,49012,0,204,10606,64213
2019-02-10 04:00:00,347,2597,380,248,-2790,3380,172,47534,0,203,10646,62717
2019-02-10 05:00:00,347,2598,387,248,-2753,3355,151,45757,0,203,10555,60848
2019-02-10 06:00:00,345,2602,383,247,-2810,3366,154,45500,0,204,10311,60302
2019-02-10 07:00:00,347,2605,392,247,-2739,3688,326,46147,0,204,10136,61353
2019-02-10 08:00:00,334,2596,420,248,-2166,3931,439,47856,224,204,9868,63954
2019-02-10 09:00:00,334,2611,396,248,-931,4168,607,50149,513,205,9551,67851
2019-02-10 10:00:00,334,2610,401,248,326,4409,1266,51898,922,204,9915,72533
2019-02-10 11:00:00,334,2613,457,248,522,4454,1202,53644,1230,204,10513,75421
2019-02-10 12:00:00,334,2614,584,248,388,4344,989,54115,1575,204,10775,76170
2019-02-10 13:00:00,334,2608,534,248,-181,3990,708,53868,1896,204,10759,74968
2019-02-10 14:00:00,334,2593,385,248,-1421,3983,580,53766,2016,204,11165,73853
2019-02-10 15:00:00,334,2597,415,248,-2470,3958,196,54390,1540,203,11539,72950
2019-02-10 16:00:00,334,2600,459,248,-2288,3912,204,54392,853,204,11582,72500
2019-02-10 17:00:00,334,2627,554,248,-1387,4259,609,53930,365,203,11124,72866
2019-02-10 18:00:00,334,2631,570,248,576,4897,1681,54301,149,202,10495,76084
2019-02-10 19:00:00,334,2636,591,252,1029,5163,2250,54385,0,203,9938,76781
2019-02-10 20:00:00,334,2642,570,251,-8,4989,1593,54190,0,203,9680,74444
2019-02-10 21:00:00,334,2646,436,251,-1543,4585,664,54239,0,204,9368,71184
2019-02-10 22:00:00,334,2659,391,252,-1212,4474,777,54308,0,203,8687,70873
2019-02-10 23:00:00,334,2660,364,251,-762,4336,782,53558,0,204,8333,70060
2019-02-11 00:00:00,333,2617,385,251,-1637,4185,788,53468,0,203,7802,68395
2019-02-11 01:00:00,341,2652,357,251,-2303,4220,416,53009,0,204,7250,66397
2019-02-11 02:00:00,346,2660,354,251,-2746,4293,336,52681,0,204,6792,65171
2019-02-11 03:00:00,346,2665,372,251,-2628,4326,203,51550,0,205,6441,63731
2019-02-11 04:00:00,347,2714,398,252,-2213,4334,309,51691,0,204,6156,64192
2019-02-11 05:00:00,347,3197,550,252,-906,4462,694,53528,0,203,5715,68042
2019-02-11 06:00:00,347,4535,696,252,490,4942,2450,54808,0,202,5192,73914
2019-02-11 07:00:00,347,5920,716,251,1477,5507,3888,55189,0,200,4824,78319
2019-02-11 08:00:00,346,6875,874,252,2019,5886,4156,55331,432,204,4274,80649
2019-02-11 09:00:00,347,7123,1063,251,1669,6087,4149,55309,1520,202,3791,81511
2019-02-11 10:00:00,348,7367,1111,251,1129,5910,3524,55258,2465,201,3393,80957
2019-02-11 11:00:00,346,7790,1145,252,745,5701,3195,55341,3254,201,3391,81361
2019-02-11 12:00:00,348,7888,1136,252,1115,5523,2998,55355,3471,195,3331,81612
2019-02-11 13:00:00,345,7961,1162,251,983,5421,2372,55238,3398,200,3252,80583
2019-02-11 14:00:00,346,7915,1130,251,648,5298,1911,55151,3109,199,3095,79053
2019-02-11 15:00:00,348,7922,1128,251,280,5266,1995,55176,2290,200,2887,77743
2019-02-11 16:00:00,347,7965,1144,251,114,5398,2215,55218,1451,202,2509,76814
2019-02-11 17:00:00,346,8020,1109,251,202,5738,2844,55156,457,204,2193,76520
2019-02-11 18:00:00,346,8142,1129,251,1345,6366,4951,55103,154,202,2084,80073
2019-02-11 19:00:00,346,8113,1068,251,2920,6832,5278,55088,0,202,2025,82123
2019-02-11 20:00:00,346,8035,1038,251,1458,6386,4328,55158,0,203,1838,79041
2019-02-11 21:00:00,346,8102,979,251,47,5935,3143,55267,0,203,1743,76016
2019-02-11 22:00:00,345,7736,1004,251,-75,5696,2981,55207,0,204,1641,74990
2019-02-11 23:00:00,346,7621,1089,251,108,5494,2545,54962,0,203,1520,74139
2019-02-12 00:00:00,349,7636,1094,252,822,4995,1473,55004,0,203,1428,73256
2019-02-12 01:00:00,349,7672,824,252,174,4602,923,55120,0,200,1422,71538
2019-02-12 02:00:00,345,7693,924,252,-597,4346,718,55031,0,189,1379,70280
2019-02-12 03:00:00,346,7601,899,252,-2238,4345,700,55220,0,176,1351,68652
2019-02-12 04:00:00,346,7398,790,252,-2535,4419,764,55292,0,174,1325,68225
2019-02-12 05:00:00,346,7675,1010,251,-1442,4600,849,55074,0,174,1357,69894
2019-02-12 06:00:00,346,7985,1121,251,384,4866,1906,55114,0,175,1453,73601
2019-02-12 07:00:00,346,8404,1151,250,2272,5575,3834,55436,0,174,1516,78958
2019-02-12 08:00:00,347,8595,1155,408,2641,5955,4524,55426,480,174,1488,81193
2019-02-12 09:00:00,348,8682,1149,462,1921,6039,4457,55477,1742,174,1422,81873
2019-02-12 10:00:00,351,8503,1107,467,1198,5897,3487,55498,3199,174,1280,81161
2019-02-12 11:00:00,355,8356,1101,507,843,5641,2346,55479,4145,175,1120,80068
